MOO FairGrad  Max Epoch 15
Epoch   1  Train Loss 0.3854 80.79% Dev 0.6059131622314453 Test 0.6303265690803528
Epoch   2  Train Loss 0.2054 81.87% Dev 0.6193879246711731 Test 0.6419131755828857
Epoch   3  Train Loss 0.1732 81.97% Dev 0.6228232979774475 Test 0.6463336944580078
Epoch   4  Train Loss 0.1517 82.04% Dev 0.648101270198822 Test 0.6669631600379944
BEST DEV 0: 0.648101270198822BEST TEST 0: 0.6669631600379944
Epoch   1  Train Loss 8.4138 83.71% Dev 0.35020947456359863 Test 0.3604820668697357
Epoch   2  Train Loss 4.8789 85.35% Dev 0.37784114480018616 Test 0.38964298367500305
Epoch   3  Train Loss 5.9855 87.44% Dev 0.426641047000885 Test 0.43871790170669556
Epoch   4  Train Loss 7.5433 89.00% Dev 0.45546507835388184 Test 0.4668102562427521
Epoch   5  Train Loss 9.4566 90.19% Dev 0.49416717886924744 Test 0.5063506364822388
Epoch   6  Train Loss 11.5906 91.08% Dev 0.5067971348762512 Test 0.5190839767456055
Epoch   7  Train Loss 14.2725 91.74% Dev 0.5246753096580505 Test 0.5379230380058289
Epoch   8  Train Loss 17.1298 92.35% Dev 0.551841676235199 Test 0.5637937188148499
Epoch   9  Train Loss 19.9430 92.94% Dev 0.5762041211128235 Test 0.589357852935791
Epoch  10  Train Loss 22.2574 93.74% Dev 0.5833907723426819 Test 0.5984375476837158
Epoch  11  Train Loss 24.1547 93.98% Dev 0.5896956324577332 Test 0.6079116463661194
Epoch  12  Train Loss 26.8544 94.19% Dev 0.5999595522880554 Test 0.6170150637626648
Epoch  13  Train Loss 28.9733 94.37% Dev 0.6035158634185791 Test 0.6225667595863342
Epoch  15  Train Loss 35.3624 94.63% Dev 0.6153368353843689 Test 0.6352100372314453
BEST DEV 1: 0.6153368353843689BEST TEST 1: 0.6352100372314453
Epoch   1  Train Loss 6.4248 83.89% Dev 0.37602540850639343 Test 0.3829014301300049
Epoch   2  Train Loss 4.3402 81.29% Dev 0.42413702607154846 Test 0.43414151668548584
Epoch   3  Train Loss 5.0722 83.86% Dev 0.46526890993118286 Test 0.47597354650497437
Epoch   4  Train Loss 6.1112 85.77% Dev 0.4903504252433777 Test 0.5055720210075378
Epoch   5  Train Loss 7.0664 87.03% Dev 0.5087552070617676 Test 0.5258885025978088
Epoch   6  Train Loss 8.3047 88.20% Dev 0.5283298492431641 Test 0.5455507040023804
Epoch   7  Train Loss 9.6332 89.15% Dev 0.5296044945716858 Test 0.5493299961090088
Epoch   8  Train Loss 10.9506 89.75% Dev 0.5534607172012329 Test 0.5731338858604431
Epoch   9  Train Loss 12.3834 90.37% Dev 0.5660473704338074 Test 0.5844417810440063
Epoch  10  Train Loss 13.6870 90.88% Dev 0.578829824924469 Test 0.5931539535522461
Epoch  11  Train Loss 14.8493 91.33% Dev 0.5803704261779785 Test 0.5971413254737854
Epoch  12  Train Loss 16.0474 91.79% Dev 0.5902134776115417 Test 0.6054103374481201
Epoch  13  Train Loss 17.0665 92.17% Dev 0.5989090800285339 Test 0.6142433285713196
Epoch  14  Train Loss 18.4214 92.49% Dev 0.60642409324646 Test 0.6195970773696899
Epoch  15  Train Loss 19.5898 92.69% Dev 0.6136116981506348 Test 0.6226604580879211
BEST DEV 2: 0.6136116981506348BEST TEST 2: 0.6226604580879211
Epoch   1  Train Loss 9.3741 81.74% Dev 0.390658974647522 Test 0.4048658013343811
Epoch   2  Train Loss 8.1074 77.40% Dev 0.410592257976532 Test 0.42316967248916626
Epoch   3  Train Loss 9.3570 80.25% Dev 0.4557788074016571 Test 0.467475950717926
Epoch   4  Train Loss 11.0210 82.21% Dev 0.4712813198566437 Test 0.48603108525276184
Epoch   5  Train Loss 12.3839 83.48% Dev 0.48525702953338623 Test 0.4986206591129303
Epoch   6  Train Loss 13.6129 84.78% Dev 0.5043640732765198 Test 0.5183858275413513
Epoch   7  Train Loss 14.7563 86.52% Dev 0.5227490067481995 Test 0.5373404622077942
Epoch   8  Train Loss 16.5322 87.76% Dev 0.5401459336280823 Test 0.5556091666221619
Epoch   9  Train Loss 18.3706 88.47% Dev 0.5426326394081116 Test 0.5559114217758179
Epoch  10  Train Loss 20.4736 88.98% Dev 0.5598142147064209 Test 0.5738158226013184
Epoch  11  Train Loss 22.4589 89.50% Dev 0.5647894144058228 Test 0.5784540176391602
Epoch  12  Train Loss 24.1079 89.73% Dev 0.566616415977478 Test 0.5805628299713135
Epoch  13  Train Loss 25.8095 90.03% Dev 0.5675182342529297 Test 0.582090437412262
Epoch  14  Train Loss 27.7351 90.34% Dev 0.5739684700965881 Test 0.5871011018753052
Epoch  15  Train Loss 29.0799 90.49% Dev 0.5788062810897827 Test 0.5902020931243896
BEST DEV 3: 0.5788062810897827BEST TEST 3: 0.5902020931243896
Epoch   1  Train Loss 12.2699 86.03% Dev 0.5212076306343079 Test 0.5362404584884644
Epoch   6  Train Loss 53.8435 86.20% Dev 0.5294261574745178 Test 0.5408617258071899
Epoch   7  Train Loss 58.5840 86.76% Dev 0.5337818264961243 Test 0.5449286699295044
Epoch   8  Train Loss 62.4786 87.32% Dev 0.5404143929481506 Test 0.5521553754806519
Epoch   9  Train Loss 66.3204 87.74% Dev 0.5437365770339966 Test 0.5559982657432556
Epoch  10  Train Loss 68.2541 88.19% Dev 0.5473126769065857 Test 0.5615805983543396
Epoch  11  Train Loss 70.5720 88.53% Dev 0.553501546382904 Test 0.5642268657684326
Epoch  12  Train Loss 75.1195 88.85% Dev 0.5547117590904236 Test 0.5659465789794922
Epoch  13  Train Loss 74.9072 89.11% Dev 0.5595059394836426 Test 0.56975257396698
Epoch  15  Train Loss 81.7695 89.55% Dev 0.566834032535553 Test 0.5764251947402954
BEST DEV 4: 0.566834032535553BEST TEST 4: 0.5764251947402954
