MOO FairGrad  Max Epoch 15
Epoch   1  Train Loss 0.4776 80.66% Dev 0.5105413198471069 Test 0.530616819858551
Epoch   2  Train Loss 0.2754 81.29% Dev 0.533912718296051 Test 0.5475980639457703
Epoch   7  Train Loss 0.1477 82.02% Dev 0.5410765409469604 Test 0.5534355640411377
Epoch   9  Train Loss 0.1190 82.31% Dev 0.5494787096977234 Test 0.5560557246208191
Epoch  14  Train Loss 0.0766 82.87% Dev 0.5537270307540894 Test 0.5657461285591125
Epoch  15  Train Loss 0.0712 82.97% Dev 0.5561455488204956 Test 0.5662205815315247
BEST DEV 0: 0.5561455488204956BEST TEST 0: 0.5662205815315247
Epoch   1  Train Loss 2.3432 87.33% Dev 0.3771609961986542 Test 0.379900723695755
Epoch   3  Train Loss 2.3596 90.22% Dev 0.4668295979499817 Test 0.46743452548980713
Epoch   4  Train Loss 2.8540 90.98% Dev 0.4794193506240845 Test 0.48348456621170044
Epoch   5  Train Loss 3.4338 91.49% Dev 0.4819256067276001 Test 0.4820987582206726
Epoch   6  Train Loss 4.0610 91.80% Dev 0.5030457973480225 Test 0.5003615617752075
Epoch   7  Train Loss 5.0169 92.15% Dev 0.5164402723312378 Test 0.5115275382995605
Epoch   8  Train Loss 6.0691 92.35% Dev 0.5182133913040161 Test 0.5202999711036682
Epoch   9  Train Loss 7.4435 92.64% Dev 0.5278298854827881 Test 0.5279814600944519
Epoch  10  Train Loss 8.6991 92.85% Dev 0.529319703578949 Test 0.5263785123825073
Epoch  11  Train Loss 10.3657 93.09% Dev 0.544106662273407 Test 0.5432411432266235
Epoch  14  Train Loss 16.1040 93.58% Dev 0.5586454272270203 Test 0.5548617839813232
Epoch  15  Train Loss 17.8253 93.76% Dev 0.560964047908783 Test 0.5562899112701416
BEST DEV 1: 0.560964047908783BEST TEST 1: 0.5562899112701416
Epoch   1  Train Loss 4.2693 85.67% Dev 0.3790580630302429 Test 0.3715669810771942
Epoch   2  Train Loss 3.1417 78.91% Dev 0.41667911410331726 Test 0.4114186465740204
Epoch   3  Train Loss 3.4780 81.78% Dev 0.4479442834854126 Test 0.4400666654109955
Epoch   5  Train Loss 4.3208 84.56% Dev 0.47268959879875183 Test 0.4597489833831787
Epoch   6  Train Loss 4.6597 85.57% Dev 0.4953041076660156 Test 0.4891606569290161
Epoch   7  Train Loss 5.2324 86.76% Dev 0.5015684366226196 Test 0.4944007992744446
Epoch   8  Train Loss 5.8153 87.51% Dev 0.5177105069160461 Test 0.5110976696014404
Epoch   9  Train Loss 6.4781 88.29% Dev 0.5335829854011536 Test 0.5243655443191528
Epoch  10  Train Loss 7.1588 88.97% Dev 0.5444730520248413 Test 0.5365563035011292
